"team_id","team_name","abbreviation","location_name","first_year_of_play","division_id","conference_id","short_name","active","created_at","updated_at"
1,"Devils","NJD","New Jersey",1982,18,6,"New Jersey",True,"2021-10-07 15:30:22.683454-07","2021-10-07 15:30:22.683454-07"
2,"Islanders","NYI","New York",1972,18,6,"NY Islanders",True,"2021-10-07 15:30:34.07762-07","2021-10-07 15:30:34.07762-07"
3,"Rangers","NYR","New York",1926,18,6,"NY Rangers",True,"2021-10-07 15:30:43.273365-07","2021-10-07 15:30:43.273365-07"
4,"Flyers","PHI","Philadelphia",1967,18,6,"Philadelphia",True,"2021-10-07 15:30:52.804867-07","2021-10-07 15:30:52.804867-07"
5,"Penguins","PIT","Pittsburgh",1967,18,6,"Pittsburgh",True,"2021-10-07 15:31:03.315501-07","2021-10-07 15:31:03.315501-07"
6,"Bruins","BOS","Boston",1924,17,6,"Boston",True,"2021-10-07 15:31:16.768641-07","2021-10-07 15:31:16.768641-07"
7,"Sabres","BUF","Buffalo",1970,17,6,"Buffalo",True,"2021-10-07 15:31:27.144539-07","2021-10-07 15:31:27.144539-07"
8,"Canadiens","MTL","Montréal",1917,17,6,"Montréal",True,"2021-10-07 15:31:41.795461-07","2021-10-07 15:31:41.795461-07"
9,"Senators","OTT","Ottawa",1992,17,6,"Ottawa",True,"2021-10-07 15:31:52.628294-07","2021-10-07 15:31:52.628294-07"
10,"Maple Leafs","TOR","Toronto",1926,17,6,"Toronto",True,"2021-10-07 15:32:01.316959-07","2021-10-07 15:32:01.316959-07"
12,"Hurricanes","CAR","Carolina",1997,18,6,"Carolina",True,"2021-10-07 15:32:11.051436-07","2021-10-07 15:32:11.051436-07"
13,"Panthers","FLA","Florida",1993,17,6,"Florida",True,"2021-10-07 15:32:25.728865-07","2021-10-07 15:32:25.728865-07"
14,"Lightning","TBL","Tampa Bay",1992,17,6,"Tampa Bay",True,"2021-10-07 15:32:40.293164-07","2021-10-07 15:32:40.293164-07"
15,"Capitals","WSH","Washington",1974,18,6,"Washington",True,"2021-10-07 15:32:50.546567-07","2021-10-07 15:32:50.546567-07"
16,"Blackhawks","CHI","Chicago",1926,16,5,"Chicago",True,"2021-10-07 15:32:57.932689-07","2021-10-07 15:32:57.932689-07"
17,"Red Wings","DET","Detroit",1932,17,6,"Detroit",True,"2021-10-07 15:33:09.770899-07","2021-10-07 15:33:09.770899-07"
18,"Predators","NSH","Nashville",1998,16,5,"Nashville",True,"2021-10-07 15:33:24.989619-07","2021-10-07 15:33:24.989619-07"
19,"Blues","STL","St. Louis",1967,16,5,"St Louis",True,"2021-10-07 15:33:34.499166-07","2021-10-07 15:33:34.499166-07"
20,"Flames","CGY","Calgary",1980,15,5,"Calgary",True,"2021-10-07 15:33:44.324821-07","2021-10-07 15:33:44.324821-07"
21,"Avalanche","COL","Colorado",1995,16,5,"Colorado",True,"2021-10-07 15:33:56.066464-07","2021-10-07 15:33:56.066464-07"
22,"Oilers","EDM","Edmonton",1979,15,5,"Edmonton",True,"2021-10-07 15:34:07.9097-07","2021-10-07 15:34:07.9097-07"
23,"Canucks","VAN","Vancouver",1970,15,5,"Vancouver",True,"2021-10-07 15:34:18.28765-07","2021-10-07 15:34:18.28765-07"
24,"Ducks","ANA","Anaheim",1993,15,5,"Anaheim",True,"2021-10-07 15:34:28.92109-07","2021-10-07 15:34:28.92109-07"
25,"Stars","DAL","Dallas",1993,16,5,"Dallas",True,"2021-10-07 15:34:39.24791-07","2021-10-07 15:34:39.24791-07"
26,"Kings","LAK","Los Angeles",1967,15,5,"Los Angeles",True,"2021-10-07 15:34:51.185416-07","2021-10-07 15:34:51.185416-07"
28,"Sharks","SJS","San Jose",1991,15,5,"San Jose",True,"2021-10-07 15:35:01.907921-07","2021-10-07 15:35:01.907921-07"
29,"Blue Jackets","CBJ","Columbus",2000,18,6,"Columbus",True,"2021-10-07 15:35:14.532801-07","2021-10-07 15:35:14.532801-07"
30,"Wild","MIN","Minnesota",2000,16,5,"Minnesota",True,"2021-10-07 15:35:28.563319-07","2021-10-07 15:35:28.563319-07"
52,"Jets","WPG","Winnipeg",2011,16,5,"Winnipeg",True,"2021-10-07 15:35:40.119979-07","2021-10-07 15:35:40.119979-07"
53,"Coyotes","ARI","Arizona",2014,16,5,"Arizona",True,"2021-10-07 15:35:51.242526-07","2021-10-07 15:35:51.242526-07"
54,"Golden Knights","VGK","Vegas",2017,15,5,"Vegas",True,"2021-10-07 15:36:00.045222-07","2021-10-07 15:36:00.045222-07"
55,"Kraken","SEA","Seattle",2021,15,5,"Seattle",True,"2021-10-07 15:36:10.562509-07","2021-10-07 15:36:10.562509-07"
27,"Coyotes","PHX","Phoenix",1996,15,5,"Phoenix",False,"2021-10-07 16:05:05.531096-07","2021-10-07 16:05:05.531096-07"
11,"Thrashers","ATL","Atlanta",1999,3,1,"Atlanta",False,"2021-10-07 16:13:29.25176-07","2021-10-07 16:13:29.25176-07"
